B B
B1CCCCO1 B1C[CH2:1][CH2:1][CH2:1]O1
B1CCCCO1 B1OCCC[CH2:1]1
B1CCCCO1 B1OCC[CH2:1][CH2:1]1
B1CCCCO1 C1CC[BH:1]OC1
B1CCCCOO1 B1OOCCC[CH2:1]1
B1CCCCOO1 C1CC[BH:1]OOC1
B1CCCCOO1 C1COO[BH:1][CH2:1]C1
B1CCCCP1 B1C[CH2:1]CCP1
B1CCCCS1 C1CC[BH:1]SC1
B1CCCN1 B1CCC[NH:1]1
B1CCCN1 B1CC[CH2:1]N1
B1CCCN1 B1C[CH2:1]CN1
B1CCCN1 B1NCC[CH2:1]1
B1CCCN1 B1NC[CH2:1][CH2:1]1
B1CCCN1 C1CN[BH:1]C1
B1CCCN1 C1C[BH:1][NH:1]C1
B1CCCNC1 B1CCC[NH:1]C1
B1CCCNCCC1 B1CCCNC[CH2:1]C1
B1CCCNCCCO1 B1CCCNC[CH2:1]CO1
B1CCCNCCCO1 B1CCC[NH:1]CCCO1
B1CCCNCCCO1 C1CNCCC[BH:1]OC1
B1CCCNCCCO1 C1CO[BH:1][CH2:1][CH2:1][CH2:1][NH:1]C1
B1CCCNCCN1 B1CCC[NH:1]CCN1
B1CCCNCCN1 B1CC[CH2:1]NCCN1
B1CCCNCCN1 B1CC[CH2:1][NH:1]CCN1
B1CCCO1 B1CC[CH2:1]O1
B1CCCO1 B1C[CH2:1]CO1
B1CCCO1 B1OCC[CH2:1]1
B1CCCO1 B1OC[CH2:1][CH2:1]1
B1CCCO1 C1CO[BH:1]C1
B1CCCO1 C1C[CH2:1][BH:1]O1
B1CCCO1 C1C[CH2:1][O:1][BH:1]1
B1CCCOC1 B1COCC[CH2:1]1
B1CCCOC1 B1COC[CH2:1]C1
B1CCCOCC1 B1CCCOC[CH2:1]1
B1CCCOCC1 B1CCCO[CH2:1]C1
B1CCCOCC1 B1CCCO[CH2:1][CH2:1]1
B1CCCOCC1 B1CCOCC[CH2:1]1
B1CCCOCC1 B1CCOC[CH2:1]C1
B1CCCOCC1 B1CCO[CH2:1]CC1
B1CCCOCC1 C1COCC[BH:1]C1
B1CCCOCO1 B1CC[CH2:1]OCO1
B1CCCOCO1 B1OCOCC[CH2:1]1
B1CCCOCO1 B1OCO[CH2:1][CH2:1][CH2:1]1
B1CCCON1 C1CON[BH:1]C1
B1CCCOO1 C1COO[BH:1]C1
B1CCCO[SiH2]1 B1CCCO[SiH2:1]1
B1CCCP1 B1CCC[PH:1]1
B1CCCP1 B1CC[CH2:1]P1
B1CCCP1 B1C[CH2:1]CP1
B1CCCP1 B1PCC[CH2:1]1
B1CCCP1 B1PC[CH2:1][CH2:1]1
B1CCCP1 B1P[CH2:1][CH2:1][CH2:1]1
B1CCCP1 C1CP[BH:1]C1
B1CCCS1 C1CS[BH:1]C1
B1CCC[SiH2]CCC1 C1C[SiH2]CCC[BH:1]C1
B1CCN1 B1CC[NH:1]1
B1CCN1 B1C[CH2:1]N1
B1CCN1 B1NC[CH2:1]1
B1CCN1 C1C[BH:1]N1
B1CCN=CN1 B1CCN=C[NH:1]1
B1CCN=CN1 B1C[CH2:1]N=CN1
B1CCN=CN1 B1NC=NC[CH2:1]1
B1CCN=CN1 B1NC=N[CH2:1][CH2:1]1
B1CCN=CN1 C1=NCC[BH:1]N1
B1CCN=CO1 B1CCN=[CH:1]O1
B1CCN=CO1 C1=NCC[BH:1]O1
B1CCNC1 B1CCN[CH2:1]1
B1CCNC1 B1CC[NH:1]C1
B1CCNC1 B1CNC[CH2:1]1
B1CCNC1 B1CN[CH2:1]C1
B1CCNC1 B1CN[CH2:1][CH2:1]1
B1CCNC1 C1C[BH:1]CN1
B1CCNC1 C1NC[CH2:1][BH:1]1
B1CCNC1 C1N[CH2:1][BH:1][CH2:1]1
B1CCNCC1 B1CCNC[CH2:1]1
B1CCNCC1 B1CCN[CH2:1]C1
B1CCNCC1 B1CC[NH:1]CC1
B1CCNCC1 C1C[BH:1]CCN1
B1CCNCN1 B1CCNC[NH:1]1
B1CCNCN1 B1CCN[CH2:1]N1
B1CCNCO1 B1CC[NH:1]CO1
B1CCNO1 B1C[CH2:1]NO1
B1CCO1 B1C[CH2:1]O1
B1CCO1 B1OC[CH2:1]1
B1CCO1 B1O[CH2:1][CH2:1]1
B1CCO1 C1C[BH:1]O1
B1CCOC1 B1CCO[CH2:1]1
B1CCOC1 B1COC[CH2:1]1
B1CCOC1 B1CO[CH2:1]C1
B1CCOC1 B1CO[CH2:1][CH2:1]1
B1CCOC1 C1C[BH:1]CO1
B1CCOCC1 B1CCOC[CH2:1]1
B1CCOCC1 B1CCO[CH2:1]C1
B1CCOCC1 B1CCO[CH2:1][CH2:1]1
B1CCOCC1 C1C[BH:1]CCO1
B1CCOCCN1 C1COCC[BH:1]N1
B1CCOCCO1 B1CCOC[CH2:1]O1
B1CCOCCO1 B1OCCOC[CH2:1]1
B1CCOCO1 B1CCO[CH2:1]O1
B1CCOCO1 B1C[CH2:1]OCO1
B1CCOCO1 B1OCOC[CH2:1]1
B1CCOCO1 B1OCO[CH2:1][CH2:1]1
B1CCON1 B1CCO[NH:1]1
B1CCON1 B1C[CH2:1]ON1
B1CCON1 B1NOC[CH2:1]1
B1CCON1 C1C[BH:1]NO1
B1CCOO1 C1C[BH:1]OO1
B1CCO[SiH2]1 B1CCO[SiH2:1]1
B1CCP1 B1CC[PH:1]1
B1CCP1 C1C[BH:1]P1
B1CCPCC1 C1C[BH:1]CCP1
B1CCS1 B1CC[S:1]1
B1CCS1 B1C[CH2:1]S1
B1CCS1 B1SC[CH2:1]1
B1CCS1 B1S[CH2:1][CH2:1]1
B1CCSC1 C1C[BH:1]CS1
B1CCSCC1 C1C[BH:1]CCS1
B1CCSN1 C1C[BH:1]NS1
B1CCSS1 C1C[BH:1]SS1
B1CC[SiH2]CC1 C1C[BH:1]CC[SiH2]1
B1CC[SiH2]CCO1 C1C[SiH2]CC[BH:1]O1
B1CC[SiH2]N1 C1C[BH:1]N[SiH2]1
B1CN1 B1C[NH:1]1
B1CN1 B1N[CH2:1]1
B1CN1 B1[CH2:1][NH:1]1
B1CN1 C1N[BH:1]1
B1CN1 C1[BH:1][NH:1]1
B1CN1 N1[BH:1][CH2:1]1
B1CN=CCN1 B1CN=[CH:1]CN1
B1CNBN1 B1NC[BH:1]N1
B1CNC1 B1C[NH:1]C1
B1CNC1 C1NC[BH:1]1
B1CNCCN1 B1C[NH:1]CCN1
B1CNCCN1 B1NCCN[CH2:1]1
B1CNCCN1 B1NCC[NH:1][CH2:1]1
B1CNCCO1 B1CNC[CH2:1]O1
B1CNCCO1 B1CN[CH2:1]CO1
B1CNCCO1 B1CN[CH2:1][CH2:1]O1
B1CNCCO1 B1C[NH:1]CCO1
B1CNCCOCO1 B1CNCCO[CH2:1]O1
B1CNCCS1 B1CNC[CH2:1]S1
B1CNCCS1 B1CN[CH2:1]CS1
B1CNCCS1 B1CN[CH2:1][CH2:1]S1
B1CNCCS1 B1SCCN[CH2:1]1
B1CNCN1 B1CNC[NH:1]1
B1CNCN1 B1CN[CH2:1]N1
B1CNCN1 B1CN[CH2:1][NH:1]1
B1CNCN1 C1NC[BH:1]N1
B1CNCN1 C1NC[NH:1][BH:1]1
B1CNCNCO1 B1CNCN[CH2:1]O1
B1CNCO1 B1CN[CH2:1]O1
B1CNCO1 B1C[NH:1]CO1
B1CNCO1 B1OCN[CH2:1]1
B1CNCOC1 C1NC[BH:1]CO1
B1CNCS1 B1CNC[S:1]1
B1CNN=NCCCN1 C1CN=NNC[BH:1]NC1
B1CNP1 C1NP[BH:1]1
